time,ozone,wind
0.893442623,12,2
0.896174863,9,2
0.898907104,7,5
0.901639344,14,5
0.904371585,4,6
0.907103825,3,8
0.909836066,3,0
0.912568306,3,4
0.915300546,3,2
0.918032787,3,2
0.920765027,3,3
0.923497268,3,2
0.926229508,6,0
0.928961749,6,0
0.931693989,5,4
0.93442623,3,3
0.93715847,4,0
0.93989071,7,0
0.942622951,5,0
0.945355191,5,5
0.948087432,4,3
0.950819672,3,0
0.953551913,2,0
0.956284153,5,3
0.959016393,3,0
0.961748634,4,4
0.964480874,4,2
0.967213115,6,0
0.969945355,6,3
0.972677596,3,5
0.975409836,4,4
0.978142077,3,4
0.980874317,8,4
0.983606557,5,0
0.986338798,3,7
0.989071038,2,3
0.991803279,3,3
0.994535519,5,3
0.99726776,1,4
1,2,4
